,score
1289,112.85
1290,121.1
1291,119.75
1292,111.6
1293,110.35
1294,110.4
1295,115.25
1296,116.65
1297,111.15
1298,107.1
1299,104.1
1300,102.45
1301,91.35
1302,94.55
1303,85.65
1304,81.9
1305,78.8
1306,76.35
1307,65.9
1308,58.55
1309,54.45
1310,42.55
1311,47.05
1312,46.65
1313,46.1
1314,45.05
1315,41.4
1316,35.35
1317,36.0
1318,36.6
1319,39.35
1320,40.85
1321,44.25
1322,42.75
1323,45.65
1324,51.5
1325,51.5
1326,50.95
1327,58.5
1328,62.6
1329,66.6
1330,74.05
1331,71.4
1332,72.6
1333,75.8
1334,78.8
1335,79.65
1336,87.5
1337,90.85
1338,93.05
1339,92.3
1340,93.0
1341,96.45
1342,97.55
1343,98.65
1344,95.65
1345,104.35
1346,106.45
1347,109.4
1348,109.95
1349,111.3
1350,107.7
1351,117.45
1352,121.25
1353,121.5
1354,123.5
1355,128.45
1356,129.05
1357,131.65
1358,129.85
1359,131.85
1360,131.2
1361,128.2
1362,127.4
1363,130.65
1364,128.0
1365,125.15
1366,124.65
1367,116.25
1368,116.45
1369,119.65
1370,119.3
1371,109.45
1372,113.5
1373,109.7
1374,107.4
1375,107.75
1376,102.0
1377,97.05
1378,96.3
1379,96.45
1380,94.8
1381,93.7
1382,93.5
1383,88.95
1384,88.8
1385,83.75
1386,82.9
1387,77.3
1388,74.2
1389,69.7
1390,67.25
1391,64.0
1392,57.45
1393,58.55
1394,57.75
1395,51.65
1396,49.95
1397,48.1
1398,48.65
1399,44.5
1400,44.15
1401,40.4
1402,38.6
1403,36.9
1404,37.15
1405,36.15
1406,33.7
1407,35.15
1408,35.45
1409,32.75
1410,31.7
1411,31.7
1412,32.8
1413,29.85
1414,28.4
1415,27.0
1416,27.0
1417,31.7
1418,31.95
1419,32.0
1420,29.2
1421,32.5
1422,36.3
1423,37.5
1424,41.4
1425,40.4
1426,44.75
1427,43.3
1428,41.65
1429,39.0
1430,39.2
1431,40.85
1432,41.55
1433,41.3
1434,42.3
1435,43.5
1436,44.7
1437,40.45
1438,39.25
1439,41.55
1440,42.55
1441,41.8
1442,41.35
1443,39.6
1444,34.4
1445,38.1
1446,34.9
1447,34.9
1448,41.55
1449,44.25
1450,44.05
1451,44.1
1452,43.85
1453,55.35
1454,71.8
1455,73.75
1456,84.0
1457,93.25
1458,98.35
1459,108.05
1460,119.55
1461,130.6
1462,141.0
1463,153.05
1464,163.35
1465,175.35
1466,183.85
1467,196.6
1468,201.6
1469,205.05
1470,208.55
1471,216.9
1472,224.55
1473,217.45
1474,202.25
1475,201.95
1476,192.85
1477,199.35
1478,202.8
1479,196.7
1480,193.7
1481,193.85
1482,194.45
1483,187.65
1484,179.95
1485,167.6
1486,162.2
1487,159.25
1488,153.2
1489,154.9
1490,163.7
1491,166.1
1492,157.45
1493,156.45
1494,157.8
1495,159.55
1496,162.5
1497,148.3
1498,150.7
1499,148.15
1500,145.55
1501,138.0
1502,128.45
1503,138.2
1504,147.1
1505,154.1
1506,156.95
1507,153.0
1508,153.2
1509,149.35
1510,145.75
1511,144.65
1512,149.0
1513,150.25
1514,147.4
1515,145.95
1516,143.05
1517,146.0
1518,142.85
1519,144.6
1520,149.75
1521,154.85
1522,161.85
1523,155.85
1524,150.6
1525,148.25
1526,150.8
1527,153.6
1528,154.5
1529,163.0
1530,168.75
1531,168.15
1532,178.0
1533,191.05
1534,202.35
1535,205.65
1536,214.75
1537,222.3
1538,226.5
1539,225.9
1540,226.35
1541,231.45
1542,230.95
1543,239.5
1544,249.0
1545,243.0
1546,249.1
1547,250.65
1548,252.1
1549,244.05
1550,233.45
1551,228.55
1552,217.3
1553,200.85
1554,189.35
1555,188.5
1556,181.0
1557,170.5
1558,162.65
1559,159.25
1560,148.95
1561,135.6
1562,125.1
1563,109.1
1564,94.35
1565,94.35
1566,79.4
1567,69.2
1568,60.3
1569,55.85
1570,54.0
1571,60.65
1572,59.85
1573,62.85
1574,64.7
1575,60.45
